Id,Brand,Vehicle,Market,Page_URL,Chassi_model,Model,Engine,Engine_code,Prod period,Body,Body_code,Grade,Grade_code,Transm,Transm_code,Options
38,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRLSEA,22RE,2400CC EFI,08.1988 - 08.1990,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),SR5,SR-5 TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'CBU': 'COMPLETELY BUILT UNIT', 'JPP': 'JAPAN PRODUCT'}"
39,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRLSEA3,22RE,2400CC EFI,08.1988 - 08.1989,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),SR5,SR-5 TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'IV3': 'INCOMPLETE VEHICLES (CAB & CHASSIS)', 'JPP': 'JAPAN PRODUCT'}"
40,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRMDEA,22RE,2400CC EFI,08.1988 - 01.1995,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'W': 'W TYPE TRANSMISSION', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'CBU': 'COMPLETELY BUILT UNIT', 'JPP': 'JAPAN PRODUCT'}"
41,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRMDEA3,22RE,2400CC EFI,08.1988 - 08.1989,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'W': 'W TYPE TRANSMISSION', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'IV3': 'INCOMPLETE VEHICLES (CAB & CHASSIS)', 'JPP': 'JAPAN PRODUCT'}"
42,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRMDEK,22RE,2400CC EFI,08.1988 - 08.1990,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'W': 'W TYPE TRANSMISSION', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'CND': 'CANADA', 'CBU': 'COMPLETELY BUILT UNIT', 'JPP': 'JAPAN PRODUCT'}"
43,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRMSEA,22RE,2400CC EFI,08.1988 - 08.1990,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),SR5,SR-5 TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'W': 'W TYPE TRANSMISSION', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'CBU': 'COMPLETELY BUILT UNIT', 'JPP': 'JAPAN PRODUCT'}"
44,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRMSEA3,22RE,2400CC EFI,08.1988 - 08.1989,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),SR5,SR-5 TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'W': 'W TYPE TRANSMISSION', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'IV3': 'INCOMPLETE VEHICLES (CAB & CHASSIS)', 'JPP': 'JAPAN PRODUCT'}"
45,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRPDEA,22RE,2400CC EFI,08.1989 - 01.1995,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,ATM,AUTOMATIC TRANSMISSION,"{'4FC': 'ATM, 4-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'CBU': 'COMPLETELY BUILT UNIT', 'JPP': 'JAPAN PRODUCT'}"
46,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRLDEAB,22RE,2400CC EFI,02.1992 - 11.1994,,,DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'NAP': 'PRODUCED AT NUMMI', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'CBU': 'COMPLETELY BUILT UNIT', 'T1': 'TRUCK(STANDARD DECK 1-SIDE OPEN)'}"
47,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRMDEAB,22RE,2400CC EFI,02.1992 - 01.1995,,,DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'NAP': 'PRODUCED AT NUMMI', 'RCB': 'REGULAR CAB', 'W': 'W TYPE TRANSMISSION', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'CBU': 'COMPLETELY BUILT UNIT', 'T1': 'TRUCK(STANDARD DECK 1-SIDE OPEN)'}"
48,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRPDEAB,22RE,2400CC EFI,02.1992 - 01.1995,,,DLX,DLX TYPE,ATM,AUTOMATIC TRANSMISSION,"{'4FC': 'ATM, 4-SPEED FLOOR SHIFT', 'NAP': 'PRODUCED AT NUMMI', 'RCB': 'REGULAR CAB', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'CBU': 'COMPLETELY BUILT UNIT', 'T1': 'TRUCK(STANDARD DECK 1-SIDE OPEN)'}"
49,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRLDEA,22RE,2400CC EFI,08.1990 - 10.1994,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'CBU': 'COMPLETELY BUILT UNIT', 'JPP': 'JAPAN PRODUCT'}"
50,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRLDEK,22RE,2400CC EFI,08.1990 - 01.1995,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'CND': 'CANADA', 'CBU': 'COMPLETELY BUILT UNIT', 'JPP': 'JAPAN PRODUCT'}"
51,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRLSEA,22RE,2400CC EFI,08.1988 - 08.1990,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),SR5,SR-5 TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'CBU': 'COMPLETELY BUILT UNIT', 'JPP': 'JAPAN PRODUCT'}"
52,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRLSEA3,22RE,2400CC EFI,08.1988 - 08.1989,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),SR5,SR-5 TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'IV3': 'INCOMPLETE VEHICLES (CAB & CHASSIS)', 'JPP': 'JAPAN PRODUCT'}"
53,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRMDEA,22RE,2400CC EFI,08.1988 - 01.1995,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'W': 'W TYPE TRANSMISSION', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'CBU': 'COMPLETELY BUILT UNIT', 'JPP': 'JAPAN PRODUCT'}"
